@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-V-R12,26,31,32,48,58,63,69,77,78,82,84,85,90,91,92,122,128,129,130,134,150,166,169,173,177,185,205,217,224,229,234,236,268,278,280,282,287,307,342,365,367,371,392,396,397,405,407,411,414,415,420,435,455,459,465,467,473,474,478,481,490,491,519,525,526,541,557,559,561,565,571,576,579,584,601,607,620,636,641,643,652,656,658,673,759,768,770,771,804,813,837,866,912,960,977,983,996,1000,1007,1014,1015,1030,1035,1051,1057,1061,1071,1087,1100,1109,1118,1119,1122,1127,1157,1167,1168,1194,1196,1206,1220,1224,1226,1234,1236,1238,1239,1247,1248,1250,1260,1264,1270,1277,1309'

@attribute pcm_intensity_sma_skewness numeric
@attribute pcm_loudness_sma_linregc1 numeric
@attribute pcm_loudness_sma_skewness numeric
@attribute pcm_loudness_sma_kurtosis numeric
@attribute mfcc_sma[1]_linregerrQ numeric
@attribute mfcc_sma[2]_max numeric
@attribute mfcc_sma[2]_amean numeric
@attribute mfcc_sma[2]_skewness numeric
@attribute mfcc_sma[3]_max numeric
@attribute mfcc_sma[3]_min numeric
@attribute mfcc_sma[3]_amean numeric
@attribute mfcc_sma[3]_linregc2 numeric
@attribute mfcc_sma[3]_linregerrA numeric
@attribute mfcc_sma[3]_quartile1 numeric
@attribute mfcc_sma[3]_quartile2 numeric
@attribute mfcc_sma[3]_quartile3 numeric
@attribute mfcc_sma[5]_linregc2 numeric
@attribute mfcc_sma[5]_quartile1 numeric
@attribute mfcc_sma[5]_quartile2 numeric
@attribute mfcc_sma[5]_quartile3 numeric
@attribute mfcc_sma[6]_max numeric
@attribute mfcc_sma[6]_iqr1-2 numeric
@attribute mfcc_sma[7]_quartile1 numeric
@attribute mfcc_sma[7]_iqr1-2 numeric
@attribute mfcc_sma[8]_min numeric
@attribute mfcc_sma[8]_amean numeric
@attribute mfcc_sma[8]_quartile1 numeric
@attribute mfcc_sma[9]_quartile2 numeric
@attribute mfcc_sma[10]_linregc2 numeric
@attribute mfcc_sma[10]_quartile2 numeric
@attribute mfcc_sma[11]_max numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute lspFreq_sma[0]_min numeric
@attribute lspFreq_sma[0]_skewness numeric
@attribute lspFreq_sma[0]_quartile1 numeric
@attribute lspFreq_sma[0]_quartile3 numeric
@attribute lspFreq_sma[1]_min numeric
@attribute lspFreq_sma[2]_range numeric
@attribute lspFreq_sma[3]_iqr1-3 numeric
@attribute lspFreq_sma[5]_maxPos numeric
@attribute lspFreq_sma[5]_amean numeric
@attribute lspFreq_sma[5]_linregerrQ numeric
@attribute lspFreq_sma[6]_skewness numeric
@attribute lspFreq_sma[6]_quartile3 numeric
@attribute lspFreq_sma[6]_iqr1-2 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma[7]_linregc2 numeric
@attribute lspFreq_sma[7]_skewness numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute lspFreq_sma[7]_quartile3 numeric
@attribute pcm_zcr_sma_min numeric
@attribute pcm_zcr_sma_iqr1-2 numeric
@attribute voiceProb_sma_iqr2-3 numeric
@attribute F0_sma_range numeric
@attribute F0_sma_linregerrA numeric
@attribute F0_sma_stddev numeric
@attribute F0_sma_iqr1-2 numeric
@attribute F0_sma_iqr2-3 numeric
@attribute F0env_sma_range numeric
@attribute F0env_sma_amean numeric
@attribute F0env_sma_quartile2 numeric
@attribute F0env_sma_quartile3 numeric
@attribute pcm_loudness_sma_de_amean numeric
@attribute pcm_loudness_sma_de_skewness numeric
@attribute pcm_loudness_sma_de_kurtosis numeric
@attribute mfcc_sma_de[1]_linregerrA numeric
@attribute mfcc_sma_de[2]_amean numeric
@attribute mfcc_sma_de[2]_linregc2 numeric
@attribute mfcc_sma_de[2]_linregerrQ numeric
@attribute mfcc_sma_de[2]_quartile1 numeric
@attribute mfcc_sma_de[3]_max numeric
@attribute mfcc_sma_de[3]_amean numeric
@attribute mfcc_sma_de[3]_linregerrA numeric
@attribute mfcc_sma_de[3]_quartile1 numeric
@attribute mfcc_sma_de[4]_skewness numeric
@attribute mfcc_sma_de[4]_iqr2-3 numeric
@attribute mfcc_sma_de[5]_skewness numeric
@attribute mfcc_sma_de[6]_linregerrA numeric
@attribute mfcc_sma_de[6]_quartile1 numeric
@attribute mfcc_sma_de[6]_quartile3 numeric
@attribute mfcc_sma_de[7]_amean numeric
@attribute mfcc_sma_de[7]_linregerrQ numeric
@attribute mfcc_sma_de[7]_skewness numeric
@attribute mfcc_sma_de[8]_linregc2 numeric
@attribute mfcc_sma_de[12]_iqr2-3 numeric
@attribute lspFreq_sma_de[0]_linregc2 numeric
@attribute lspFreq_sma_de[0]_linregerrQ numeric
@attribute lspFreq_sma_de[0]_stddev numeric
@attribute lspFreq_sma_de[2]_amean numeric
@attribute lspFreq_sma_de[2]_quartile2 numeric
@attribute lspFreq_sma_de[4]_max numeric
@attribute lspFreq_sma_de[5]_stddev numeric
@attribute lspFreq_sma_de[7]_iqr1-3 numeric
@attribute F0_sma_de_linregerrQ numeric
@attribute F0env_sma_de_linregc2 numeric
@attribute F0env_sma_de_quartile1 numeric
@attribute f0skewx numeric
@attribute f0Varx numeric
@attribute f0Ampskewx numeric
@attribute LHmeanx numeric
@attribute LHRate numeric
@attribute LH2skewx numeric
@attribute LH3Minx numeric
@attribute f0deltaskewx numeric
@attribute f0AmpDeltameanx numeric
@attribute f0AmpDeltakurtx numeric
@attribute LHdeltakurtx numeric
@attribute LH3deltameanx numeric
@attribute StepUskewx numeric
@attribute StepOqmeanx numeric
@attribute StepArmsx numeric
@attribute StepAqmeanx numeric
@attribute StepAVarx numeric
@attribute StepU2meanx numeric
@attribute StepOdeltameanx numeric
@attribute StepAdeltameanx numeric
@attribute StepAdeltarmsx numeric
@attribute f0Delta2Maxx numeric
@attribute f0Delta2Rangex numeric
@attribute f0AmpDelta2Rangex numeric
@attribute LHDelta2skewx numeric
@attribute LH2Delta2Maxx numeric
@attribute LH2Delta2Rangex numeric
@attribute LH3Delta2Maxx numeric
@attribute LH3Delta2Rangex numeric
@attribute LH3Delta2rmsx numeric
@attribute LH3Delta2qmeanx numeric
@attribute StepUDelta2meanx numeric
@attribute StepUDelta2rmsx numeric
@attribute StepUDelta2skewx numeric
@attribute StepODelta2skewx numeric
@attribute StepADelta2Maxx numeric
@attribute StepADelta2skewx numeric
@attribute StepU2Delta2meanx numeric
@attribute emotion {A,N,H,S,B,D,F}

@data
2.547098,0.000275,0.376976,2.655853,79.04655,5.32876,-29.22556,0.111564,75.65899,-18.52659,14.13145,23.05991,11.0905,2.320841,10.37514,24.74406,1.78558,0,9.123695,21.52897,41.22552,16.77687,0,6.686158,-82.82284,-28.53284,-43.61901,11.13997,-14.91115,-18.19303,47.70262,8.117326,5.185625,0.10504,0.736408,0.337484,0.442354,0.381869,0.518971,0.153678,268,1.793437,0.022568,1.174702,2.103842,0.031799,2.345207,2.288412,1.571759,2.279619,2.377452,0.005,0.041042,0.160514,480.2309,147.8486,162.0548,139.36,182.2122,467.242,359.2386,371.4434,395.1788,0.000977,0.237522,3.442128,1.726597,-0.03111,-0.031097,13.15934,-1.763731,18.95721,-0.007343,2.543027,-1.585405,0.027609,1.871144,0.179228,3.56506,-2.722541,3.165036,0.014776,11.49627,-0.187355,-0.194477,2.297966,0.000209,0.00082,0.02863,-0.000147,0,0.139943,0.028909,0.032336,2218.191,2.550608,-0.641755,0.75,3696.19,3.32,11.39,3.78,2.25,27,1.83,-2.05,6.44,29.43,472.71,0.01,0.55,8.55,1.1,29927.37,100.07,0.13,2.46,1.66,36.58,86.8,141.03,4.38,62035.74,118656.6,19072.19,48386.89,63.62,17.11,-33.96,1.37,2.86,2.51,50.85,2.04,-17.67,A
2.767538,-0.000501,0.326786,2.591717,85.5966,17.06663,-20.60987,-0.181852,67.31863,-5.587183,20.13351,24.03464,12.1477,8.332762,18.64809,30.38533,18.06356,0,9.999648,20.39433,14.04984,13.7904,0,7.743512,-59.8965,-18.69467,-29.62813,13.75793,-13.93513,-14.07227,53.36985,8.250361,11.72505,0.125519,0.016007,0.3001,0.471743,0.367332,0.66251,0.1768,276,1.832708,0.021155,1.254041,2.135778,0.041495,2.369275,2.28352,1.332928,2.295214,2.40268,0.000833,0.09625,0.176916,470.5882,128.5383,140.7796,0,260.8386,420.63,335.9729,329.274,389.5149,0.000742,0.336222,3.396438,1.783851,-0.098044,-0.222628,12.55061,-1.725744,14.91601,-0.012535,2.441101,-1.992621,-0.242933,1.929041,-0.319046,2.963415,-2.170151,2.363121,-0.022762,12.63334,-0.289567,-0.086839,2.169335,0.00158,0.001019,0.031927,-0.000331,0,0.075087,0.025337,0.028926,1488.006,3.256944,-0.744121,0.56,2908.61,1.66,18.88,2,1.76,24,1.58,-0.41,6.75,25.18,-776.2,-0.25,0.88,7.55,0.68,31751.59,117.35,-0.74,-1.72,1.97,25.99,68.77,98.2,3.96,67416.11,135929.49,28155.33,60084.28,81.85,1,-35.23,1.44,2.5,2,31.3,1.97,-22,A
4.764661,0.000079,1.496479,5.7492,367.4219,36.15631,-22.01268,0.110778,74.7711,-32.86879,30.52927,24.65969,16.13575,16.2497,32.39433,45.42878,7.740416,-18.07713,1.183842,17.69765,27.57439,14.37265,-9.047189,15.52934,-90.71088,-38.66809,-55.91496,12.10529,-18.21111,-17.80234,61.02327,19.89154,26.82782,0.085641,0.644986,0.278047,0.55778,0.215235,0.952413,0.214456,201,1.765354,0.027806,-1.210186,2.157272,0.047436,2.336722,2.302501,0.80751,2.311895,2.402189,0.004167,0.08375,0.111106,477.7184,103.4001,123.8822,179.4423,59.92395,437.8981,247.0576,224.1807,300.4473,0.000371,-0.210339,5.808707,3.27023,0.002738,-0.164329,21.11361,-2.531472,13.63369,0.015375,2.880811,-2.130425,-0.941662,2.441757,-0.233706,4.179124,-3.645779,3.109998,-0.036022,27.59997,-0.709073,-0.195851,2.27434,-0.000375,0.002021,0.044962,-0.000499,-0.001439,0.173502,0.04129,0.037642,1282.557,1.8446,-3.17171,1.97,808.64,2.18,47.25,2.58,1.63,1,1.34,0.54,12.29,18.11,1081.59,-0.58,0.31,5.09,0.47,15641.03,42.3,0.47,4.19,1.39,31.31,63.55,116.92,2.7,75303.27,148144.92,75357.52,96506.42,111.65,15.95,-30.73,1.18,2.1,1.71,39.67,1.61,-5.9,A
4.863273,-0.000982,1.256339,4.988094,364.0194,1.896978,-28.35375,-0.127277,78.25034,-5.696167,30.01671,35.54975,16.07299,15.29784,31.22929,44.73562,8.202127,0,10.98943,23.32422,58.40637,18.16562,-5.926784,5.926784,-68.49645,-24.12499,-38.77696,0,-18.70659,-6.216253,55.69794,11.72919,10.05668,0.137571,0.645203,0.337533,0.551715,0.312048,0.803889,0.264293,190,1.725154,0.03284,0.620039,2.143768,0.113916,2.412297,2.36605,0.963131,2.356301,2.496509,0.005833,0.068958,0.160584,409.1228,96.16356,106.9504,46.99063,142.0232,283.6992,211.7167,210.6582,236.8967,0.000029,0.297709,4.745972,2.576323,-0.031431,-0.207541,15.16203,-2.160158,17.03648,-0.022962,2.557069,-1.851337,0.162675,2.385102,-0.439424,3.030052,-2.215986,2.107828,-0.000657,14.79106,-0.041122,-0.250752,1.983998,0.003304,0.001887,0.043485,-0.00056,0,0.134421,0.033421,0.038377,774.4916,1.164703,-1.040037,0.65,1950.59,3.35,38.89,1.68,2.62,6,1.48,0.44,9.4,21.05,-9601.08,-0.09,0.54,12.28,0.79,94153.22,138.39,-2.13,-9.77,3.26,24.8,55.68,79.5,2.78,90018.06,190236.7,166939.32,328422.63,294.81,1,-53.84,2.13,2.41,1.92,69.61,1.52,-30.56,A
2.828874,0.000312,0.186782,2.703077,80.09712,12.93067,-33.79338,0.014523,81.51933,-12.28843,26.84358,19.46292,14.26899,13.4687,26.54213,38.77132,3.720507,-13.56681,0,9.053806,36.12619,16.07737,-16.5432,13.62138,-80.3308,-25.45024,-39.37642,12.17332,-19.07636,-20.41488,69.59379,11.14417,7.917243,0.106717,0.247559,0.305243,0.444011,0.267381,0.709595,0.108214,93,1.667232,0.032073,1.181496,2.118422,0.066834,2.406839,2.367656,0.775787,2.378021,2.505447,0.015,0.0675,0.144458,484.8485,111.1588,128.852,170.403,86.38797,444.8575,282.9561,273.456,336.0168,-0.000666,0.170284,3.895621,1.46081,0.011032,-0.202269,11.13924,-1.650746,10.72709,-0.02709,2.62559,-2.09828,-0.341688,1.841639,-0.343116,3.449609,-2.59621,2.547004,-0.002085,15.79538,-0.236715,0.046753,2.229439,0.001339,0.000645,0.025403,0.000088,0,0.106006,0.035061,0.03884,1131.631,1.360624,-1.357434,0.59,1683.39,2.16,21.28,2.72,1.79,45,1.87,-0.71,15.8,33.33,20.9,-0.06,0.67,4.93,0.38,14233.72,84.6,1.38,0.28,1.23,29.14,61.69,118.01,3.53,173479.03,227029.82,47492.18,80282.17,77.55,20.99,-42.18,1.69,3.9,2.72,60.01,2.34,-17.93,A
2.117743,0.000518,0.483705,2.39804,150.4178,5.617826,-32.6423,0.053397,82.19276,-17.07146,19.72188,24.00438,16.39293,3.465588,14.69248,30.32638,14.50053,-6.592678,7.714389,22.03479,41.90705,12.21811,-22.46384,18.82824,-112.9473,-28.59566,-42.18823,9.511071,-19.96449,-16.5344,64.31593,11.14115,6.258024,0.132887,0.819221,0.288374,0.422648,0.251915,0.736603,0.163002,63,1.697846,0.03506,0.025896,2.122213,0.099286,2.392272,2.345825,0.875507,2.366553,2.48722,0.015833,0.050833,0.169132,484.8485,133.4104,150.8841,224.9816,98.42268,473.7787,326.2654,333.5202,366.6486,-0.000014,0.299652,3.921298,2.109613,-0.0345,-0.116432,11.43449,-1.918098,17.75933,-0.010661,2.991865,-2.364554,-0.104918,2.176091,-0.340802,3.969601,-2.636232,3.078041,-0.121766,37.14104,-0.739863,-0.0851,2.315714,-0.000768,0.000838,0.028959,-0.000291,-0.00004,0.107523,0.040949,0.041625,1983.379,2.791912,-1.521085,0.69,5065.54,1.84,33.55,2.86,0.88,1,2.06,-1.54,6.19,22.79,166.94,0.05,0.44,9.15,0.48,46171.68,86.65,0.85,2.99,1.58,35.58,94.1,85.21,3.75,36036.3,77966.98,37884.88,103642.41,108.95,1,-45.71,1.99,2.78,2.31,28.21,1.8,-16.09,A
3.667658,-0.00035,0.762693,3.030821,199.6641,15.34508,-26.15103,-0.295183,83.022,-14.30121,33.75928,42.02206,13.94163,20.50571,33.38075,46.50153,-9.45213,-17.46878,-2.844443,16.06848,40.31799,13.80162,-28.71947,20.5536,-96.30235,-35.28124,-49.14938,14.4706,-26.70206,-22.42904,62.84532,13.40897,14.35568,0.138502,0.642128,0.264887,0.472381,0.271036,0.890596,0.157183,317,1.700933,0.042069,-1.202237,2.119239,0.055005,2.362169,2.350042,0.53778,2.329918,2.467147,0.019167,0.060625,0.136122,466.627,124.5174,144.4406,200.2852,112.1855,419.8924,305.2291,312.4716,370.1375,0.000043,-0.005683,4.111891,2.033806,0.022293,-0.205336,12.63142,-1.767517,11.8797,0.007983,2.836226,-2.203254,-0.17571,1.979972,-0.248939,3.684743,-3.019654,3.003731,0.017302,27.71089,-0.378425,-0.327426,2.434847,-0.000205,0.001221,0.034944,0.000879,-0.000679,0.124165,0.040809,0.041023,1636.44,1.716413,-2.788155,0.92,2593.76,1.62,27.8,2.26,1.73,1,2.03,-0.29,4.61,24.22,-809,-0.38,0.39,4.25,0.18,11830.67,85.23,-1.67,-0.45,1.07,23.87,56.11,83.93,4.7,67785.36,129966.74,59150.14,168996.95,157.77,20.26,-54.12,2.11,2.94,2.1,38.02,2.21,-18.18,A
2.597733,0.00093,0.543225,2.730045,247.1022,11.25479,-41.72572,0.513384,86.52882,-16.22336,26.65712,20.86486,17.40957,10.22721,25.34533,39.94546,16.03711,-12.81739,5.76228,21.95939,35.06769,16.4443,-7.097525,13.23213,-62.35102,-20.92687,-34.06174,13.76844,-13.71383,-6.604238,51.96803,12.50585,11.28773,0.174266,0.29249,0.373682,0.572315,0.317086,0.911468,0.198064,479,1.687011,0.020913,-0.665654,2.096323,0.068476,2.391113,2.298424,0.23353,2.369093,2.500751,0.010833,0.058333,0.176246,441.5584,113.7414,125.8179,130.5115,97.64931,396.4037,261.885,262.7477,293.1721,0.000094,0.041465,4.231934,2.458618,-0.05183,-0.233968,11.13701,-1.965216,10.05087,0.023796,2.683084,-2.15873,-0.253766,2.241731,-0.816253,3.838525,-2.707788,3.459714,-0.074715,19.42354,-0.188611,0.007322,2.343193,-0.000032,0.000919,0.030308,-0.000387,-0.001674,0.129462,0.032827,0.048415,1125.58,1.804649,-0.876971,1.34,4690.75,2.02,11.98,1.57,0.81,1,1.44,-1.59,13.22,27.59,999.38,-0.28,0.65,6.12,0.56,21051.81,133.74,-1.35,-0.58,1.16,21.93,66.88,103.46,3.53,93199.91,120282.07,76457.78,94398.6,90.56,1,-32.97,1.38,2.43,1.8,40.02,1.54,-25.34,A
1.994832,0.000076,-0.007004,2.640784,258.741,10.99145,-49.33718,1.239295,74.56573,-26.83994,21.23258,22.1637,17.15383,5.082891,19.28308,34.55166,14.19862,3.354967,15.16288,29.59733,8.172271,11.97335,-0.253151,13.58149,-51.49903,-20.59467,-31.68949,22.35839,-4.896504,-16.9887,55.43476,16.33409,31.1829,0.318379,0.482349,0.493676,0.660989,0.491472,0.805377,0.185404,301,1.730125,0.0234,-0.267892,2.108561,0.053148,2.305275,2.314785,0.806398,2.294454,2.354401,0.071667,0.048542,0.147226,472.9649,128.5251,144.8784,0,262.1188,427.7769,327.1273,313.5889,351.4456,0.000736,0.628515,3.755509,2.597707,0.187916,-0.416684,12.19214,-1.480818,9.161976,0.126872,3.110523,-1.496042,-0.789632,1.953754,-0.210311,3.086656,-2.525697,2.611289,0.141559,21.00088,-0.093002,0.280768,2.89999,0.002811,0.000688,0.026252,0.002294,-0.002035,0.104035,0.033203,0.040276,1705.991,3.204262,0,0.88,6448.13,2.75,1.32,0.63,0.71,3016,1.27,-2.87,1.26,19.82,-1989.91,0.91,0.79,9.05,1.85,30426.07,288.82,-2.65,3.26,1.79,26.64,62.13,59.55,6.69,17261.2,36519.02,19246.12,38012.49,85.89,1,-8.3,0.45,2.2,1.98,27.19,1.3,-56.51,A
10.0081,0.00067,0.846307,3.528713,345.7694,32.06223,-25.44158,0.401571,81.09087,-32.81219,24.33191,19.43278,16.73929,7.122306,26.81505,39.29999,18.07107,4.055306,18.67919,28.05172,28.00056,11.94449,0,8.94945,-77.50399,-22.42938,-36.04406,7.495028,-5.588705,-6.50748,48.76094,8.235154,9.700858,0.090984,0.11094,0.349084,0.577362,0.228425,0.989661,0.261887,123,1.793235,0.028932,0.781617,2.133519,0.071098,2.404013,2.446528,0.864365,2.347189,2.500359,0,0.085833,0.207093,477.1761,104.7356,124.8351,0,167.2514,454.606,249.6096,204.1489,322.0503,0.000175,0.57964,7.849111,2.157531,0.022825,-0.174924,11.61317,-1.610087,10.60489,0.025431,2.312022,-1.815586,-0.352121,1.838591,-0.186553,3.049779,-2.131284,2.295234,0.023278,18.86425,-0.600148,0.073447,1.596548,0.002371,0.001335,0.036567,0.000312,0,0.172446,0.025845,0.038472,793.4822,1.222851,0,-0.14,773.47,1.14,26.86,1.74,2.03,1,1.56,-0.7,20.22,18.76,278.24,-0.48,0.48,11.28,0.65,77806.67,137.8,-0.06,0.2,2.8,20.46,49.6,68.27,2.9,49312.31,120527.93,75360,190537.33,230.36,28.1,-50.85,2.03,2.35,1.98,78.48,1.51,-25.86,A
2.493041,-0.00253,0.468115,2.932131,95.89898,-3.823578,-48.75868,0.949785,71.91315,-0.209131,23.40559,25.38041,11.55666,12.2791,20.63116,29.36298,11.43835,-8.315312,8.970633,22.05031,22.51688,17.57812,0.384904,16.04492,-47.66688,-11.58892,-22.21772,16.13171,-19.24846,-13.55462,46.69917,2.623176,-3.269148,0.214066,-0.177749,0.420882,0.601436,0.506442,0.337138,0.094856,151,1.669438,0.014618,-0.782597,2.05112,0.054306,2.326508,2.296498,0.334061,2.31286,2.434811,0.041667,0.0175,0.140292,464.2289,120.0097,136.2116,164.2431,106.9433,407.172,279.4154,270.6071,345.1963,0.000935,0.182188,3.839899,1.424237,0.011675,-0.738553,6.622006,-0.948965,11.89086,-0.163927,2.389135,-1.981915,-0.158715,2.526206,-0.271309,3.490438,-2.689586,3.286702,-0.306133,11.71252,0.035093,0.160468,2.979429,-0.001468,0.000756,0.02751,-0.000236,-0.000024,0.080805,0.02601,0.048204,1346.217,6.775251,-1.092889,0.62,3453.02,2.95,1.62,0.38,1.39,2410,1.46,-0.91,3.52,7.47,-2867.32,0.43,1.04,3.98,0.61,6825.58,177.96,-1.65,-1.12,0.79,17.97,60.15,39.46,4.48,7627.94,22468.06,14849.35,50267.13,99.77,1,-12.61,0.49,2.51,2.2,9.46,2,-36.95,A
3.828013,0.001011,0.849714,3.247722,67.15871,21.96131,-32.70193,0.26008,63.62971,-16.13954,19.74118,19.22412,14.38985,4.677946,18.16081,34.48314,7.822872,-0.374849,6.257584,18.62497,27.17737,16.60797,-4.984269,4.984269,-87.18992,-20.34652,-33.03511,6.957035,-15.68134,-19.16174,59.66138,6.284022,5.820429,0.10443,-0.057391,0.349084,0.526138,0.381789,0.578724,0.132294,105,1.75125,0.028255,0.767963,2.145925,0.069426,2.402879,2.481265,0.921632,2.342676,2.492297,0.019167,0.054167,0.109468,466.2309,69.12742,95.15066,0,75.11736,389.1685,205.2656,198.6001,220.6696,-0.00016,0.275232,4.63305,1.601268,-0.115889,-0.290793,9.144222,-1.764525,12.47202,-0.014404,2.272191,-1.813344,-0.386867,1.68199,0.199867,3.206497,-2.101043,2.37062,0.074005,14.13526,-0.156699,0.176559,1.906004,0.001454,0.000631,0.025129,-0.000105,0,0.102795,0.029176,0.03878,510.4184,1.649443,-0.051991,0.34,2831.38,2.78,9.61,1.83,0.95,109,1.2,1.98,12.78,7.04,2786.6,-0.03,0.67,9.25,1.22,35258.49,139.66,1.16,10.67,2.03,14.21,43.97,67.46,3.24,26132.11,72669.36,30212.58,79639.14,112.45,32.98,-25.74,1.08,2.12,1.53,37.24,1.47,-25.35,A
4.82592,0.000201,0.862469,3.728396,128.374,27.24293,-30.03997,0.159667,64.88616,-35.72936,21.38642,17.09151,12.22871,10.78659,20.6025,31.16784,20.39013,3.737381,16.61394,30.17858,47.91808,15.17637,-8.154879,11.09227,-82.37792,-23.91217,-37.76937,9.827004,-17.67699,-19.76014,64.15189,2.603594,9.523023,0.154789,0.451597,0.349084,0.489932,0.306547,0.976548,0.197541,130,1.76739,0.02329,0.772226,2.103698,0.081273,2.311163,2.325626,1.039776,2.274334,2.38387,0.0075,0.054583,0.110749,457.1428,102.8979,119.2278,139.1147,84.67989,426.3459,257.0379,250.6965,290.9193,0.000209,-0.027241,3.921487,1.924277,-0.042878,0.159099,16.07878,-2.240399,11.44776,-0.006232,2.72925,-2.069521,-0.833763,2.418244,-0.290144,3.937848,-2.830676,3.285624,-0.050164,17.52641,-0.207381,-0.151677,2.667735,-0.001585,0.000844,0.02906,-0.000164,-0.000166,0.104728,0.029437,0.040595,1504.991,1.479834,-1.182177,0.21,1363.56,0.91,17.7,1.5,3.89,23,1.47,-0.45,18.66,12.17,122.56,-0.29,0.66,8.15,0.92,35358.56,121.87,2.25,4.6,2.29,26.35,70.29,104.57,3.12,100001.06,185168.65,40349.87,114062.71,125.88,34.37,-28.14,1.15,2.48,2.12,58.46,1.72,-23.1,A
4.041559,0.000458,0.85068,3.619466,110.905,6.172573,-36.50515,0.338174,68.80377,-13.88219,17.73112,24.97153,12.77033,5.316432,13.3124,28.8437,9.621808,1.1793,16.48134,28.32984,21.60608,12.66968,-15.7515,11.17417,-74.53432,-26.5853,-41.38373,3.088657,-6.640131,-22.53929,55.52848,5.289406,1.221261,0.151482,0.948475,0.359867,0.500915,0.345035,0.677667,0.099161,440,1.740721,0.013797,1.072061,2.083945,0.072757,2.333292,2.304088,1.023572,2.314268,2.399947,0.0075,0.062917,0.148464,484.8485,121.1398,142.815,166.3784,65.42474,477.2989,311.1937,296.2075,347.4382,0.000231,0.422827,4.308418,1.973739,-0.028578,-0.212503,12.36348,-2.021049,10.92503,0.035162,2.394264,-1.831399,-0.29201,2.108784,-0.109293,3.430757,-2.860583,2.795465,-0.025045,19.64426,0.172073,-0.193655,2.580314,0.001225,0.000992,0.031506,0.000019,0,0.13347,0.025843,0.042631,1364.655,1.9759,-1.774722,0.39,5815.56,1.65,11.42,1.89,0.76,89,1.5,-0.56,3.41,12.91,169.28,0.19,0.48,9.91,1.25,43945.53,113.46,-0.19,0.77,1.81,31.49,97.26,126.36,3.6,20682.48,53091.33,32255.7,96597.51,116.04,1,-23.9,1.01,2.55,2.02,32.5,1.75,-23.08,A
6.704429,-0.000251,0.894026,4.146397,107.0638,27.00041,-26.29663,0.126306,67.5033,-23.38795,15.31487,20.04147,11.97726,4.151789,13.7421,23.56868,8.414811,0.356057,12.30746,21.60995,15.09917,17.65421,-5.67478,7.094755,-89.31315,-27.06308,-42.60414,8.653584,-28.74024,-26.90152,51.17253,2.820489,-1.534031,0.180605,-0.151672,0.334234,0.4922,0.300871,0.871628,0.122069,295,1.81866,0.019004,0.723101,2.142073,0.072799,2.32265,2.326026,1.711527,2.311914,2.363003,0.02,0.0875,0.120284,399.8034,93.48604,110.1056,120.5164,61.41988,342.1941,266.7845,266.9091,292.1452,-0.00055,-0.386898,5.315364,2.095846,0.074197,0.130119,19.01274,-2.638911,8.464575,-0.029757,2.547321,-1.965438,-0.761472,2.50707,-0.659616,3.768855,-3.118753,3.115757,0.053299,18.9906,-0.319329,0.47019,2.256563,-0.000519,0.000937,0.030609,0.000699,0,0.133857,0.03155,0.035302,1057.172,2.101403,-0.995068,-0.71,2372.34,0.82,18.27,1.68,2.46,2,1.59,-0.5,6.8,33.82,2082.04,-0.37,0.81,9.32,0.81,49659.03,89.05,1.03,-0.05,2.84,29.14,77.57,75.34,3.91,45090.25,129791.09,40631.22,87358.7,121.48,38.08,-24.77,0.97,2.98,2.32,66.39,1.78,-15.28,A
3.676672,0.000124,1.107722,4.052708,331.2367,28.27997,-20.28231,-0.18434,91.42548,-22.78396,29.52728,31.07212,15.58819,15.17905,27.45005,42.12093,-3.259068,-4.033996,8.001856,18.63572,46.96354,18.34421,-5.720551,12.36573,-109.3545,-25.15207,-40.80023,12.43134,-12.61019,-17.96942,53.40472,8.852578,13.2629,0.070021,1.214208,0.253021,0.457018,0.201385,0.80344,0.208645,83,1.768092,0.026811,-0.27691,2.138089,0.101514,2.332581,2.327037,0.299148,2.326612,2.389994,0,0.065,0.117449,470.5882,98.79075,117.9981,118.6094,63.79295,416.682,255.4293,250.0535,291.0184,-0.000361,0.249202,5.14271,2.714322,0.01245,-0.019026,18.82554,-2.410706,12.99244,0.019568,2.675907,-2.142591,-0.710721,2.471517,-0.596433,4.376029,-3.026481,3.905086,0.005377,24.7334,-0.696472,-0.342746,2.427707,0.000839,0.001913,0.043746,0.00008,-0.000566,0.128622,0.034642,0.039814,1128.524,1.144962,-2.646413,0.4,2705.31,1.36,35.01,2.78,4.48,1,1.83,-0.05,6.94,31.2,473.02,-0.14,0.76,5.72,0.4,20348.98,67.75,-0.81,3.18,1.44,37.82,72.23,90.18,3.06,91994,235083.58,30710.75,94153.36,94.57,16.61,-37.93,1.51,3.34,2.52,65.03,2.27,-12.69,A
